michelin_year,restaurant_name,michelin_stars,prior_stars,event_flag,area,flag
2013,Lazy Bear,0,0,None,SF,Include
2013,Commonwealth,0,0,None,SF,Include
2013,Rasa,0,0,None,SF,Include
2013,Sushi Yoshizumi,0,0,None,SF,Include
2013,Mourad Restaurant,0,0,None,SF,Include
2013,Aster,0,0,None,SF,Include
2013,Californios,0,0,None,SF,Include
2013,Octavia,0,0,None,SF,Include
2013,ALs Place,0,0,None,SF,Include
2013,Trevese,0,0,None,SF,Exclude
2013,El Paseo,0,0,None,SF,Include
2013,Omakase,0,0,None,SF,Include
2013,Lord Stanley,0,0,None,SF,Include
2013,Nico,0,0,None,SF,Include
2013,Wako Japanese Restaurant,0,0,None,SF,Include
2013,Range Restaurant,0,0,None,SF,Include
2013,Mirepoix,0,0,None,SF,Exclude
2013,Fifth Floor,0,0,None,SF,Exclude
2013,Chez Panisse,0,0,None,SF,Include
2013,Kin Khao,0,0,None,SF,Include
2013,Maruya,0,0,None,SF,Include
2012,The French Laundry,3,3,None,SF,Include
2012,The Restaurant At Meadowood,3,3,None,SF,Include
2012,Manresa,2,2,None,SF,Include
2012,Coi,2,2,None,SF,Include
2012,Saison,2,1,Gained 1 Star(s),SF,Include
2012,Benu,2,0,Gained 2 Star(s),SF,Include
2012,Baumé,2,1,Gained 1 Star(s),SF,Include
2012,Quince,1,1,None,SF,Include
2012,Atelier Crenn,1,0,Gained 1 Star(s),SF,Include
2012,Acquerello,1,1,None,SF,Include
2012,Commis,1,1,None,SF,Include
2012,Aziza,1,1,None,SF,Include
2012,SolBar,1,1,None,SF,Include
2012,Bouchon,1,1,None,SF,Include
2012,Terra,1,1,None,SF,Exclude
2012,Madrona Manor,1,1,None,SF,Exclude
2012,Ame,1,1,None,SF,Include
2012,Plumed Horse,1,1,None,SF,Include
2012,Farmhouse Inn Restaurant,1,1,None,SF,Include
2012,Chez TJ,1,1,None,SF,Include
2012,La Toque,1,1,None,SF,Include
2012,Auberge du Soleil,1,1,None,SF,Exclude
2012,Luce,1,1,None,SF,Exclude
2012,Campton Place Restaurant,1,1,None,SF,Include
2012,Gary Danko,1,1,None,SF,Include
2012,The Village Pub,1,1,None,SF,Include
2012,Spruce,1,1,None,SF,Include
2012,Cyrus,2,2,None,SF,Exclude
2012,Boulevard,1,1,None,SF,Include
2012,Wakuriya,1,1,None,SF,Include
2012,La Folie,1,1,None,SF,Include
2012,Michael Mina,1,0,Gained 1 Star(s),SF,Include
2012,Madera,1,1,None,SF,Include
2012,Terrapin Creek Cafe & Restaurant,1,0,Gained 1 Star(s),SF,Include
2012,Sons & Daughters,1,0,Gained 1 Star(s),SF,Include
2012,Redd,1,1,None,SF,Include
2012,Keiko  Nob Hill,0,0,None,SF,Include
2012,Masas,1,1,None,SF,Include
2012,All Spice,0,0,None,SF,Include
2012,SPQR,0,0,None,SF,Include
2012,Ubuntu,1,1,None,SF,Exclude
2012,Alexanders Steakhouse,1,1,None,SF,Include
2012,Frances,1,1,None,SF,Include
2012,étoile,1,1,None,SF,Exclude
2012,One Market Restaurant,1,1,None,SF,Include
2012,Fleur de Lys,1,1,None,SF,Exclude
2012,Santé,1,1,None,SF,Include
2012,State Bird Provisions,0,0,None,SF,Include
2012,La Costanera,1,0,Gained 1 Star(s),SF,Include
2012,The Dining Room at the Ritz Carlton,0,1,Lost 1 Star(s),SF,Exclude
2012,Applewood,1,1,None,SF,Exclude
2012,Dio Deka,1,1,None,SF,Include
2012,KUSAKABE,0,0,None,SF,Include
2012,Murray Circle,0,1,Lost 1 Star(s),SF,Include
2012,Lazy Bear,0,0,None,SF,Include
2012,Commonwealth,0,0,None,SF,Include
2012,Rasa,0,0,None,SF,Include
2012,Sushi Yoshizumi,0,0,None,SF,Include
2012,Mourad Restaurant,0,0,None,SF,Include
2012,Aster,0,0,None,SF,Include
2012,Californios,0,0,None,SF,Include
2012,Octavia,0,0,None,SF,Include
2012,ALs Place,0,0,None,SF,Include
2012,Trevese,0,0,None,SF,Exclude
2012,El Paseo,0,0,None,SF,Include
2012,Omakase,0,0,None,SF,Include
2012,Lord Stanley,0,0,None,SF,Include
2012,Nico,0,0,None,SF,Include
2012,Wako Japanese Restaurant,0,0,None,SF,Include
2012,Range Restaurant,0,0,None,SF,Include
2012,Mirepoix,0,1,Lost 1 Star(s),SF,Exclude
2012,Fifth Floor,0,0,None,SF,Exclude
2012,Chez Panisse,0,0,None,SF,Include
2012,Kin Khao,0,0,None,SF,Include
2012,Maruya,0,0,None,SF,Include
